Day,Month,Year,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
2,7,2020,11.75,HSG,12.1,12.15,11.7,7648550
1,7,2020,12,HSG,11.4,12,11.3,8277790
30,6,2020,11.45,HSG,12,12,11,20422660
29,6,2020,11.8,HSG,12,12.3,11.6,12875000
26,6,2020,12.25,HSG,12.6,12.75,12.2,8277360
25,6,2020,12.3,HSG,11.7,12.5,11.4,18733030
24,6,2020,11.7,HSG,12,12.15,11.6,15637970
23,6,2020,11.9,HSG,12.3,12.45,11.7,12090280
22,6,2020,12.1,HSG,12,12.3,11.95,11271100
19,6,2020,11.9,HSG,11.5,11.95,11.35,10618110
18,6,2020,11.35,HSG,11.4,11.7,11.3,7003570
17,6,2020,11.5,HSG,11,11.7,10.75,16463500
16,6,2020,10.95,HSG,10.95,11.1,10.75,8016220
15,6,2020,10.65,HSG,11.3,11.45,10.55,13511690
12,6,2020,11,HSG,9.8,11,9.8,19678940
11,6,2020,10.3,HSG,10.9,11.45,10.3,21503160
10,6,2020,11.05,HSG,11.15,11.35,10.75,16386040
9,6,2020,11.3,HSG,11.7,11.9,11.2,13135230
8,6,2020,11.3,HSG,11.15,11.3,10.85,15061890
5,6,2020,10.6,HSG,9.9,10.6,9.84,16504300
4,6,2020,9.92,HSG,10.15,10.15,9.91,9239160
3,6,2020,9.94,HSG,9.81,9.99,9.62,10076640
2,6,2020,9.8,HSG,9.96,9.99,9.8,13552840
1,6,2020,10.1,HSG,10,10.5,9.75,17861680
29,5,2020,9.97,HSG,10.2,10.2,9.72,17506970
28,5,2020,10.15,HSG,10.3,10.4,10.1,8958130
27,5,2020,10.05,HSG,10,10.4,9.92,16387240
26,5,2020,9.89,HSG,9.85,9.89,9.76,10262660
25,5,2020,9.79,HSG,9.7,9.88,9.6,7146130
22,5,2020,9.7,HSG,9.24,9.75,9.1,10413910
21,5,2020,9.27,HSG,9.52,9.59,9.21,14142240
20,5,2020,9.53,HSG,9.5,9.86,9.5,10190430
19,5,2020,9.7,HSG,9.88,10.05,9.6,10099700
18,5,2020,9.46,HSG,9,9.46,8.89,11978360
15,5,2020,8.85,HSG,9.1,9.14,8.77,9747180
14,5,2020,9.06,HSG,9,9.3,8.91,10239880
13,5,2020,9.03,HSG,8.9,9.03,8.8,12123850
12,5,2020,8.44,HSG,7.8,8.44,7.77,13916820
11,5,2020,7.89,HSG,7.89,8.15,7.81,8415640
8,5,2020,7.81,HSG,7.92,8.11,7.81,8124060
7,5,2020,7.93,HSG,8.2,8.26,7.86,9366520
6,5,2020,8.12,HSG,7.75,8.15,7.7,9908860
5,5,2020,7.7,HSG,7.7,7.81,7.6,4557920
4,5,2020,7.55,HSG,7.36,7.85,7.27,9077090
29,4,2020,7.35,HSG,7.25,7.4,7.22,6343870
28,4,2020,7.35,HSG,7.49,7.5,7.31,5694420
27,4,2020,7.4,HSG,7.5,7.7,7.2,7720890
24,4,2020,7.26,HSG,7.26,7.26,7.05,21089490
23,4,2020,6.79,HSG,6.79,6.79,6.79,1777730
22,4,2020,6.67,HSG,6.1,6.67,6.1,5881250
21,4,2020,6.24,HSG,6.5,6.61,6.24,12149400
20,4,2020,6.7,HSG,7,7.02,6.66,7064950
17,4,2020,6.78,HSG,6.51,6.78,6.4,6851380
16,4,2020,6.5,HSG,6.48,6.78,6.4,5559090
15,4,2020,6.46,HSG,6.3,6.46,6.2,7468820
14,4,2020,6.04,HSG,5.75,6.04,5.75,10396410
13,4,2020,5.65,HSG,5.55,5.85,5.55,4563010
10,4,2020,5.6,HSG,5.58,5.76,5.52,4184730
9,4,2020,5.6,HSG,5.72,5.87,5.59,5434360
8,4,2020,5.7,HSG,5.36,5.7,5.36,4022510
7,4,2020,5.57,HSG,5.56,5.6,5.36,3706830
6,4,2020,5.56,HSG,5.35,5.56,5.26,6439490
3,4,2020,5.2,HSG,5.1,5.2,4.9,5102020
1,4,2020,4.86,HSG,4.5,4.86,4.5,4001500
31,3,2020,4.55,HSG,4.65,4.84,4.36,4557410
30,3,2020,4.65,HSG,4.8,4.8,4.65,4744120
27,3,2020,5,HSG,4.98,5.2,4.8,3222640
26,3,2020,4.9,HSG,5.18,5.2,4.9,3292760
25,3,2020,5.23,HSG,5.3,5.3,5.13,2720230
24,3,2020,5.07,HSG,5.3,5.4,5.06,5017710
23,3,2020,5.42,HSG,5.51,5.58,5.42,3586170
20,3,2020,5.82,HSG,5.94,6.05,5.78,2534240
19,3,2020,5.94,HSG,6.02,6.08,5.8,3094180
18,3,2020,6.16,HSG,6.3,6.33,6.11,3423240
17,3,2020,6.19,HSG,5.81,6.19,5.81,1989460
16,3,2020,6,HSG,5.83,6.3,5.83,4312470
13,3,2020,5.9,HSG,5.7,6.1,5.68,6260180
12,3,2020,6.1,HSG,6.15,6.4,6.1,8037500
11,3,2020,6.55,HSG,7.08,7.14,6.54,5312990
10,3,2020,7.03,HSG,6.7,7.17,6.68,4111980
9,3,2020,7.07,HSG,7.09,7.3,7.07,4346630
6,3,2020,7.6,HSG,7.65,7.69,7.6,1975180
5,3,2020,7.7,HSG,7.76,7.84,7.7,1994600
4,3,2020,7.7,HSG,7.59,7.75,7.57,2674520
3,3,2020,7.59,HSG,7.75,7.76,7.59,3274200
2,3,2020,7.59,HSG,7.6,7.7,7.53,1514160
28,2,2020,7.6,HSG,7.68,7.72,7.55,4996490
27,2,2020,7.8,HSG,7.8,7.84,7.72,2362340
26,2,2020,7.75,HSG,7.79,7.84,7.68,2211900
25,2,2020,7.88,HSG,7.59,7.9,7.59,3743840
24,2,2020,7.77,HSG,7.95,8.1,7.77,7166340
21,2,2020,8.17,HSG,8.4,8.45,8.15,3055490
20,2,2020,8.34,HSG,8.06,8.34,8.06,6655340
19,2,2020,8.06,HSG,8.16,8.17,8.06,2427630
18,2,2020,8.14,HSG,8.13,8.23,8.07,4793030
17,2,2020,8.13,HSG,8.1,8.2,8.07,2950580
14,2,2020,8.06,HSG,7.88,8.06,7.85,3932620
13,2,2020,7.88,HSG,7.89,7.89,7.71,5252600
12,2,2020,7.88,HSG,7.85,8.01,7.85,5242530
11,2,2020,7.84,HSG,8.15,8.15,7.84,6924170
10,2,2020,8.02,HSG,8,8.17,7.92,3637020
7,2,2020,8.12,HSG,8.26,8.34,8.08,4292320
6,2,2020,8.26,HSG,8.08,8.32,8.01,4428100
5,2,2020,8.03,HSG,8,8.08,7.97,3039680
4,2,2020,7.95,HSG,8.23,8.3,7.93,5395320
3,2,2020,8.23,HSG,7.8,8.3,7.62,8875150
31,1,2020,8.15,HSG,8.66,8.72,8.15,8590820
30,1,2020,8.66,HSG,8.8,8.88,8.55,8308440
22,1,2020,8.98,HSG,8.55,9.09,8.5,8908570
21,1,2020,8.55,HSG,8.35,8.59,8.33,4006910
20,1,2020,8.3,HSG,8.4,8.42,8.22,5054860
17,1,2020,8.44,HSG,8.52,8.62,8.3,4436910
16,1,2020,8.52,HSG,8.5,8.6,8.45,4634950
15,1,2020,8.45,HSG,8.19,8.5,8.17,9107900
14,1,2020,8.1,HSG,7.94,8.12,7.84,3581580
13,1,2020,7.94,HSG,8.14,8.24,7.92,4266560
10,1,2020,8.09,HSG,8.15,8.25,8.09,3632380
9,1,2020,8.09,HSG,7.96,8.25,7.96,4819780
8,1,2020,7.87,HSG,7.85,7.95,7.75,3644680
7,1,2020,7.93,HSG,8.02,8.12,7.92,2309430
6,1,2020,8.02,HSG,8,8.15,7.89,4757100
3,1,2020,7.98,HSG,8.2,8.21,7.96,3031450
2,1,2020,8.19,HSG,7.76,8.19,7.75,3283180
